chip_name,source_file,template_id,parameter_name,parameter_value,status,extracted_by,confidence,confidence_reason,source_pages,source_quote
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,线性度等级,-43dB DEVM @ 17dBm,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,1,
UPF5755,202307UPF5755 datasheet V1.2.pdf,rf-fem-5ghz,物理尺寸,3mm x 3mm,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,6,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,Supported bands,"LTE/UMTS B1, 2, 3, 4, 5, 8, 9, 10, 18, 19, 20, 25, 26, 33, 34, 35, 36, 37, 39; Quad-band EDGE",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,Maximum Linear Output Power,+27.25 to +28.25 dBm (LTE/3G HPM),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,ACLR / EVM Condition,"ACLR1 E-UTRA -34dBc (Max), EVM 2.5% @ 10MHz QPSK 12RB",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,RFFE bus,2-Wire MIPI RFFE Interface,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,Current Consumption,430mA - 530mA (LTE HPM @ Max Pout),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,VCC / Supply,VBATT: 3.0V - 4.5V; VCC: 0.5V - 4.5V (APT Support),needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
RF7459A,case2-RF7459A_Product_Data_Sheet.pdf,cellular-3g4g5g,Package,"42-pin, 7.0mm x 5.0mm x 0.915mm",needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,power,Voltage - Input (Min),3.0 V,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
S55643-51Q,S55643-51Q.pdf,power,Voltage - Input (Max),5.0 V,needs_review,gemini_report_pass,review,当前阶段仅有完整报告中的模板字段推断，建议人工复核。,,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Technology / Memory Type,NOR Serial Flash,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,6,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Memory Size / Density,128M-bit (16M-byte),confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,6,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Organization,"65,536 pages of 256-bytes",confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,6,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Interface / I/O Mode,Standard/Dual/Quad SPI & QPI,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,6,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Max Clock Frequency,104MHz,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,6,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Supply Voltage,2.7V to 3.6V,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,81,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Active / Power-Down Current,4mA (Read) / <1µA (typ. Power-down),confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,6,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,Program / Erase Time,"Page: 0.7ms, Sector(4KB): 45ms, Block(64KB): 150ms (typ)",confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,86,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,接口模式选择,QE 位的控制,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,11,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,擦除粒度管理,4KB/32KB/64KB 多级擦除,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,6,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,上电时序要求,tVSL 延迟,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,82,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,硬件控制冲突,QE=1 时功能引脚失效,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,11,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,型号性能差异,IG vs IQ/IF 擦除速度差异,confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,86,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,寿命指标,"100,000 次擦写寿命，20 年数据保持",confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,6,
W25Q128FV,W25Q128FVSIG.pdf,serial-flash,擦除能力,"支持 4KB, 32KB, 64KB 擦除及整片擦除",confirmed,gemini_report_pass,high,当前阶段未拿到快参数结果，沿用完整报告参数。,6,
